body,body_id,building,trades,stage,stage_verified,dollar_amount,funding_source,scope_summary,evidence_quote,source_url,meeting_date,in_window
West Islip Union Free School District,NCES-3630690,Manetuck and Udall Road schools,site_athletics,1_problem,False,,unknown,Sprinkler systems at Manetuck and Udall Road soccer fields identified as an item reviewed,Items reviewed included... sprinkler systems at Manetuck and Udall Road's soccer fields,https://files.smartsites.parentsquare.com/6796/060126_05-07-26_rm_final.pdf,2026-05-07,True
Deer Park Union Free School District,NCES-3608880,HS,electrical_lighting,1_problem,False,,unknown,Transformers at high school need attention or replacement.,Transformers @HS,https://files.smartsites.parentsquare.com/12897/october_14_2025_1.pdf,2025-10-14,True
Deer Park Union Free School District,NCES-3608880,Pre-K,site_athletics,1_problem,False,,unknown,Pre-K playground needs work or evaluation.,pre-k playground,https://files.smartsites.parentsquare.com/12897/october_14_2025_1.pdf,2025-10-14,True
Deer Park Union Free School District,NCES-3608880,HS,electrical_lighting,1_problem,False,,unknown,Transformers at high school need evaluation or replacement.,"Transformers @HS, Upcoming ""to-do"" list",https://files.smartsites.parentsquare.com/12897/october_14_2025_1.pdf,2025-10-14,True
West Islip Union Free School District,NCES-3630690,High School,envelope_windows,1_problem,False,,unknown,High school pool renovation project under review by Buildings and Grounds Committee.,Items reviewed included high school pool renovation,https://files.smartsites.parentsquare.com/6796/030526-02-05-26_rm_final_for_posting.pdf,2026-02-05,True
West Islip Union Free School District,NCES-3630690,District,hvac_mechanical,1_problem,False,,unknown,Building heating systems under review by Buildings and Grounds Committee.,building heating systems,https://files.smartsites.parentsquare.com/6796/030526-02-05-26_rm_final_for_posting.pdf,2026-02-05,True
Deer Park Union Free School District,NCES-3608880,,site_athletics,1_problem,False,,grant,Grant funding being pursued for pool project.,Grant for the pool,https://files.smartsites.parentsquare.com/12897/october_14_2025_1.pdf,2025-10-14,True
West Islip Union Free School District,NCES-3630690,,general_construction,1_problem,False,,unknown,Pool construction project at West Islip Union Free School District.,Pool Construction Project,https://files.smartsites.parentsquare.com/6796/081026_b_g_agenda_8-10-26_jb.pdf,2026-08-10,True
West Islip Union Free School District,NCES-3630690,High School,interiors,1_problem,False,,unknown,Renovation of counseling and main office spaces at the high school.,High School Counseling and Main Office Renovation,https://files.smartsites.parentsquare.com/6796/081026_b_g_agenda_8-10-26_jb.pdf,2026-08-10,True
West Islip Union Free School District,NCES-3630690,,general_construction,1_problem,False,,unknown,Multiple construction projects across the district.,Various Construction Projects – District-wide,https://files.smartsites.parentsquare.com/6796/081026_b_g_agenda_8-10-26_jb.pdf,2026-08-10,True
West Islip Union Free School District,NCES-3630690,Pool Construction Project,roofing,1_problem,False,,unknown,Roof replacement for pool construction project,Pool Construction Project – Roof Replacement,https://files.smartsites.parentsquare.com/6796/050426-b_g_agenda_5-5-26_jb_draft.pdf,2026-05-05,True
West Islip Union Free School District,NCES-3630690,Manetuck and Udall,site_athletics,1_problem,False,,unknown,Irrigation system (sprinkler) work at Manetuck and Udall sites,Manetuck and Udall Irrigation (Sprinklers),https://files.smartsites.parentsquare.com/6796/050426-b_g_agenda_5-5-26_jb_draft.pdf,2026-05-05,True
West Islip Union Free School District,NCES-3630690,Udall Road,site_athletics,1_problem,False,,unknown,Irrigation system at Udall Road needs attention or repair.,Items reviewed included demolition phase of the high school's pool renovation; irrigation system at Udall Road,https://files.smartsites.parentsquare.com/6796/111925-11-06-25_rm_final.pdf,2025-11-06,True
West Islip Union Free School District,NCES-3630690,Manetuck,plumbing,1_problem,False,,unknown,Underground pipe leak at Manetuck requiring insurance claim.,New: Manetuck underground pipe leak,https://files.smartsites.parentsquare.com/6796/030926_b_g_agenda_3-10-26_jb_draft.pdf,2026-03-10,True
West Islip Union Free School District,NCES-3630690,High School,electrical_lighting,1_problem,False,,unknown,Electrical outage and damaged PV Cabinet at High School requiring insurance claim.,High School electrical outage and damaged PV Cabinet,https://files.smartsites.parentsquare.com/6796/030926_b_g_agenda_3-10-26_jb_draft.pdf,2026-03-10,True
West Islip Union Free School District,NCES-3630690,West Islip High School,general_construction,1_problem,False,,unknown,High school pool renovation,Items reviewed included high school pool renovation,https://files.smartsites.parentsquare.com/6796/3-4-26_sm_agenda_for_posting_revised.pdf,2026-03-04,True
West Islip Union Free School District,NCES-3630690,West Islip District,energy,1_problem,False,,unknown,Solar panel insurance claims,Items reviewed included high school pool renovation; solar panel insurance claims,https://files.smartsites.parentsquare.com/6796/3-4-26_sm_agenda_for_posting_revised.pdf,2026-03-04,True
West Islip Union Free School District,NCES-3630690,West Islip District Office,"plumbing, general_construction",1_problem,False,,unknown,District office flood repairs,Items reviewed included high school pool renovation; solar panel insurance claims; district office flood repairs,https://files.smartsites.parentsquare.com/6796/3-4-26_sm_agenda_for_posting_revised.pdf,2026-03-04,True
West Islip Union Free School District,NCES-3630690,West Islip District,hvac_mechanical,1_problem,False,,unknown,Building heating systems,Items reviewed included high school pool renovation; solar panel insurance claims; district office flood repairs; building heating systems,https://files.smartsites.parentsquare.com/6796/3-4-26_sm_agenda_for_posting_revised.pdf,2026-03-04,True
West Islip Union Free School District,NCES-3630690,Pool Construction Project,roofing,1_problem,False,,unknown,Roof replacement for pool construction project.,Pool Construction Project – Roof Replacement,https://files.smartsites.parentsquare.com/6796/050426-b_g_agenda_5-5-26_jb_draft.pdf,2026-05-05,True
West Islip Union Free School District,NCES-3630690,Manetuck and Udall,site_athletics,1_problem,False,,unknown,Irrigation system (sprinklers) installation or repair at Manetuck and Udall sites.,Manetuck and Udall Irrigation (Sprinklers),https://files.smartsites.parentsquare.com/6796/050426-b_g_agenda_5-5-26_jb_draft.pdf,2026-05-05,True
West Islip Union Free School District,NCES-3630690,High School,hvac_mechanical,1_problem,False,,unknown,High school pool renovation noted in committee review,Items reviewed included high school pool renovation,https://files.smartsites.parentsquare.com/6796/052026_5-19-26_sm_agenda_for_posting_revised.pdf,2026-05-19,True
West Islip Union Free School District,NCES-3630690,,hvac_mechanical,1_problem,False,,unknown,General heating repair issues across district buildings.,General Heating Repair Issues,https://files.smartsites.parentsquare.com/6796/020226_b_g_agenda_2-3-26_jb_draft.pdf,2026-02-03,True
West Islip Union Free School District,NCES-3630690,West Islip Union Free School District,general_construction,1_problem,False,,unknown,Pool reconstruction project,Pool Reconstruction,https://files.smartsites.parentsquare.com/6796/010526_b_g_agenda_1-6-26_jb_draft.pdf,2026-01-06,True
West Islip Union Free School District,NCES-3630690,High School,general_construction,1_problem,False,,unknown,High school pool renovation needed.,high school pool renovation,https://files.smartsites.parentsquare.com/6796/011226_1-8-2026_rm_agenda_for_posting_revised.pdf,2026-01-08,True
West Islip Union Free School District,NCES-3630690,,energy,2_study,False,7500,grant,Build Green Long Island grant for sustainability education in building industry and construction operations.,"District received $7,500.00 grant through Build Green Long Island for sustainability in building industry",https://files.smartsites.parentsquare.com/6796/052026_5-19-26_sm_agenda_for_posting_revised.pdf,2026-05-19,True
West Islip Union Free School District,NCES-3630690,,energy,2_study,False,7500,grant,Students will explore sustainability in the building industry through a fully funded Build Green Long Island grant program.,"district received $7,500.00 grant through Build Green Long Island. This opportunity was made available through the Energeia Partnership",https://files.smartsites.parentsquare.com/6796/060126_05-07-26_rm_final.pdf,2026-05-07,True
West Islip Union Free School District,NCES-3630690,High School,plumbing,2_study,False,,unknown,Pool renovation at the high school under review.,pool renovation at the high school,https://files.smartsites.parentsquare.com/6796/012126-1-20-2026_sm_agenda_for_posting.pdf,2026-01-20,True
West Islip Union Free School District,NCES-3630690,West Islip Union Free School District (facilities wide),energy,2_study,False,,operating budget,Summer energy savings through modified work schedules and reduced energy consumption across district facilities.,Modified work week and work day as a method of achieving cost savings through reduced energy consumption,https://files.smartsites.parentsquare.com/6796/052026_5-19-26_sm_agenda_for_posting_revised.pdf,2026-05-19,True
West Islip Union Free School District,NCES-3630690,High School,site_athletics,2_study,False,,unknown,High school pool renovation project under review.,high school pool renovation; review of insurance claims,https://files.smartsites.parentsquare.com/6796/032326-3-24-2026_sm_agenda_for_posting.pdf,2026-03-24,True
West Islip Union Free School District,NCES-3630690,West Islip Union Free School District,hvac_mechanical,2_study,False,,unknown,Gym air conditioning system with budget estimate being developed.,Gym air conditioning – budget estimate,https://files.smartsites.parentsquare.com/6796/100325_b_g_agenda_10-7-25_1.pdf,2025-10-07,True
West Islip Union Free School District,NCES-3630690,All buildings,hvac_mechanical,2_study,False,,unknown,Preliminary quotes being obtained for gymnasium air conditioning units.,preliminary quotes for the gymnasium air conditioning units for all buildings,https://files.smartsites.parentsquare.com/6796/102225_10-21-25_sm_for_posting.pdf,2025-10-21,True
West Islip Union Free School District,NCES-3630690,,plumbing,2_study,False,,unknown,Pool reconstruction project with presentation update scheduled.,Pool Reconstruction – (SCC will present an update),https://files.smartsites.parentsquare.com/6796/030926_b_g_agenda_3-10-26_jb_draft.pdf,2026-03-10,True
West Islip Union Free School District,NCES-3630690,High School,"roofing, envelope_windows",2_study,False,,unknown,High school pool renovation project reviewed at Buildings and Grounds Committee meeting.,Items reviewed included high school pool renovation; solar panel insurance claims,https://files.smartsites.parentsquare.com/6796/3-4-26_sm_agenda_for_posting_revised.pdf,2026-03-04,True
West Islip Union Free School District,NCES-3630690,District,energy,2_study,False,,unknown,"Solar panel insurance claims being reviewed, indicating prior solar installation.",Items reviewed included high school pool renovation; solar panel insurance claims,https://files.smartsites.parentsquare.com/6796/3-4-26_sm_agenda_for_posting_revised.pdf,2026-03-04,True
West Islip Union Free School District,NCES-3630690,District Office,general_construction,2_study,False,,unknown,District office flood repairs are being addressed.,Items reviewed included high school pool renovation; solar panel insurance claims; district office flood repairs,https://files.smartsites.parentsquare.com/6796/3-4-26_sm_agenda_for_posting_revised.pdf,2026-03-04,True
West Islip Union Free School District,NCES-3630690,High School,interiors,2_study,False,,unknown,Pool renovation project planned for high school.,pool renovation at the high school,https://files.smartsites.parentsquare.com/6796/012126-01-08-26_rm_final.pdf,2026-01-08,True
West Islip Union Free School District,NCES-3630690,All buildings,hvac_mechanical,2_study,False,,unknown,Obtain preliminary quotes for gymnasium air conditioning units across all district buildings.,preliminary quotes for the gymnasium air conditioning units for all buildings,https://files.smartsites.parentsquare.com/6796/10-09-25_rm_final.pdf,2025-10-09,True
West Islip Union Free School District,NCES-3630690,District soccer fields,site_athletics,2_study,False,,unknown,Installation of irrigation systems for soccer club fields.,irrigation systems for the soccer club fields,https://files.smartsites.parentsquare.com/6796/10-09-25_rm_final.pdf,2025-10-09,True
West Islip Union Free School District,NCES-3630690,"Beach Street, Udall Road, and High School",interiors,2_study,False,,unknown,Kitchen renovations at multiple schools.,"Beach Street, Udall Road and High Schools, kitchen renovations",https://files.smartsites.parentsquare.com/6796/092525_9-25-25_sm_agenda_for_posting_revised.pdf,2025-09-25,True
West Islip Union Free School District,NCES-3630690,High School,general_construction,2_study,False,,unknown,High school pool construction project under review by committee.,Items reviewed included high school pool construction,https://files.smartsites.parentsquare.com/6796/091526_9-10-26_rm_agenda_for_posting_revised_ver2.pdf,2026-09-10,True
West Islip Union Free School District,NCES-3630690,High School,general_construction,2_study,True,,unknown,High school pool renovation project under review by Buildings and Grounds Committee.,Items reviewed included high school pool renovation,https://files.smartsites.parentsquare.com/6796/011226_1-8-2026_rm_agenda_for_posting_revised.pdf,2026-01-08,True
West Islip Union Free School District,NCES-3630690,High School,interiors,2_study,False,,unknown,High school counseling department and main office renovation project under review.,high school counseling department and main office renovation project,https://files.smartsites.parentsquare.com/6796/091526_9-10-26_rm_agenda_for_posting_revised_ver2.pdf,2026-09-10,True
West Islip Union Free School District,NCES-3630690,District-wide,general_construction,2_study,False,,unknown,District-wide construction projects under committee review.,district wide construction projects,https://files.smartsites.parentsquare.com/6796/091526_9-10-26_rm_agenda_for_posting_revised_ver2.pdf,2026-09-10,True
West Islip Union Free School District,NCES-3630690,Udall Road,site_athletics,2_study,False,,unknown,Irrigation system at Udall Road under review.,irrigation system at Udall Road,https://files.smartsites.parentsquare.com/6796/111725_11-18-25_sm_for_posting.pdf,2025-11-18,True
West Islip Union Free School District,NCES-3630690,High School,life_safety_security,2_study,True,,unknown,Keyless lock system at High School under review with Suffolk County Police.,review of keyless lock system at High School with Suffolk County Police Department,https://files.smartsites.parentsquare.com/6796/111725_11-18-25_sm_for_posting.pdf,2025-11-18,True
Commack Union Free School District,NCES-3608130,Commack Union Free School District,electrical_lighting,2_study,False,,bond,Smart Schools Bond Act project update and public hearing on technology infrastructure improvements.,Smart Schools Bond Act – Update/Public Hearing,https://files.smartsites.parentsquare.com/5158/minutes_-_february_12_2026.pdf,2026-02-12,True
Commack Union Free School District,NCES-3608130,District-wide,electrical_lighting,2_study,False,,bond,Smart Schools Bond Act preliminary planning for technology and infrastructure improvements across district schools.,Smart Schools Bond Act – Preliminary Plan Overview,https://files.smartsites.parentsquare.com/5158/minutes_-_december_18_2025.pdf,2025-12-18,True
Commack Union Free School District,NCES-3608130,,general_construction,2_study,False,,bond,Smart Schools Bond Act Preliminary Plan overview phase 3 approved by Board of Education.,Board of Education approved the Smart Schools Bond Act Preliminary Plan overview phase 3,https://files.smartsites.parentsquare.com/5158/minutes_-_december_18_2025.pdf,2025-12-18,True
Commack Union Free School District,NCES-3608130,Commack High School (CHS),general_construction,2_study,False,,bond,Mock Trial Courtroom project from 2019 Bond with financial information revision request.,Request for Revision of Financial Information Form for the listed 2019 Bond Project,https://files.smartsites.parentsquare.com/5158/minutes_-_november_20_2025_1.pdf,2025-11-20,True
West Islip Union Free School District,NCES-3630690,West Islip High School,site_athletics,2_study,False,,unknown,Create a sailing team with associated facilities and infrastructure needs.,Administration and Board will have to have further discussions. This will be something to consider when discussing the budget.,https://files.smartsites.parentsquare.com/6796/102225_10-21-25_sm_for_posting.pdf,2025-10-21,True
West Islip Union Free School District,NCES-3630690,,hvac_mechanical,2_study,True,,unknown,Air conditioning units for gymnasiums in all district buildings.,Preliminary quotes for the gymnasium air conditioning units for all buildings,https://files.smartsites.parentsquare.com/6796/102225_10-21-25_sm_for_posting.pdf,2025-10-21,True
West Islip Union Free School District,NCES-3630690,,site_athletics,2_study,True,,unknown,Irrigation systems installation for soccer club fields.,Irrigation systems for the soccer club fields,https://files.smartsites.parentsquare.com/6796/102225_10-21-25_sm_for_posting.pdf,2025-10-21,True
West Islip Union Free School District,NCES-3630690,West Islip Union Free School District,hvac_mechanical,2_study,False,,unknown,Gym air conditioning system with budget estimate being prepared.,Gym air conditioning – budget estimate,https://files.smartsites.parentsquare.com/6796/100325_b_g_agenda_10-7-25_1.pdf,2025-10-07,True
Deer Park Union Free School District,NCES-3608880,Deer Park High School,general_construction,2_study,False,,capital reserve,Reconstruct or replace aging swimming pool to restore safety and functionality.,the District has conducted a facilities assessment that includes a recommendation to reconstruct or replace the pool,https://files.smartsites.parentsquare.com/12897/september_30_2025.pdf,2025-09-30,True
Deer Park Union Free School District,NCES-3608880,JFK,"abatement, site_athletics",2_study,False,,unknown,"Vinyl asbestos floor tile removal with new VCT installation and sitework reconstruction including asphalt pavement, curbing, sidewalk and storm drainage.","Vinyl asbestos floor tile removal and install new VCT. Sitework Reconstruction- Full depth asphalt pavement, curbing, sidewalk and storm drainage.",https://files.smartsites.parentsquare.com/12897/072226_june172026-open-work-minutes.pdf,2026-06-17,True
West Islip Union Free School District,NCES-3630690,Westbrook,site_athletics,2_study,False,,unknown,Additional parking spaces at Westbrook elementary school.,Westbrook parking lot and sidewalks additional parking spaces,https://files.smartsites.parentsquare.com/6796/092525_9-25-25_sm_agenda_for_posting_revised.pdf,2025-09-25,True
Deer Park Union Free School District,NCES-3608880,All buildings,electrical_lighting,2_study,False,,unknown,New fiberoptics infrastructure planned for all district buildings.,new fiberoptics in all buildings,https://files.smartsites.parentsquare.com/12897/november_12_2025_1.pdf,2025-11-12,True
West Islip Union Free School District,NCES-3630690,High School,site_athletics,2_study,False,,unknown,Additional parking spaces at the High School.,additional parking spaces at the High School,https://files.smartsites.parentsquare.com/6796/092525_9-25-25_sm_agenda_for_posting_revised.pdf,2025-09-25,True
West Islip Union Free School District,NCES-3630690,Manetuck,hvac_mechanical,2_study,False,,unknown,Installation of gymnasium acoustics at Manetuck.,installation of gymnasium acoustics at Manetuck,https://files.smartsites.parentsquare.com/6796/092525_9-25-25_sm_agenda_for_posting_revised.pdf,2025-09-25,True
Deer Park Union Free School District,NCES-3608880,Deer Park High School,general_construction,2_study,False,,capital reserve,Develop plan to address aging swimming pool through reconstruction or replacement.,District has conducted a facilities assessment that includes a recommendation to reconstruct or replace the pool,https://files.smartsites.parentsquare.com/12897/september_30_2025_1.pdf,2025-09-30,True
Deer Park Union Free School District,NCES-3608880,Deer Park High School,general_construction,2_study,False,,capital reserve,"Develop plan and explore reconstruction or replacement options for aged swimming pool including costs, funding sources, and timelines.","pool has aged and deteriorated significantly, requiring thorough evaluation to determine its continued safety, functionality, and long-term viability",https://files.smartsites.parentsquare.com/12897/september_30_2025_1.pdf,2025-09-30,True
Deer Park Union Free School District,NCES-3608880,JFK,site_athletics,2_study,False,,unknown,Traffic study underway at JFK school.,JFK traffic study in October,https://files.smartsites.parentsquare.com/12897/october_14_2025_1.pdf,2025-10-14,True
West Islip Union Free School District,NCES-3630690,High School,general_construction,2_study,False,,unknown,High School pool reconstruction with estimated completion in February 2027.,High School pool reconstruction with estimated completion date of February 2027,https://files.smartsites.parentsquare.com/6796/092525_9-25-25_sm_agenda_for_posting_revised.pdf,2025-09-25,True
West Islip Union Free School District,NCES-3630690,Paul J. Bellew Elementary School,site_athletics,2_study,False,,unknown,Street crossing safety improvements and updates.,The Town of Islip completed a survey and updated the crossing in August 2025.,https://files.smartsites.parentsquare.com/6796/030526-02-05-26_rm_final_for_posting.pdf,2026-02-05,True
Deer Park Union Free School District,NCES-3608880,JFK,site_athletics,2_study,False,,unknown,Traffic study at JFK school in October.,JFK traffic study in October,https://files.smartsites.parentsquare.com/12897/october_14_2025_1.pdf,2025-10-14,True
Deer Park Union Free School District,NCES-3608880,pre-K,site_athletics,2_study,False,,unknown,Pre-K playground project under review.,pre-k playground,https://files.smartsites.parentsquare.com/12897/october_14_2025_1.pdf,2025-10-14,True
West Islip Union Free School District,NCES-3630690,"High School, Beach Street, and Paul J. Bellew",life_safety_security,2_study,False,,unknown,Installation of electronic locks and card access readers at multiple school buildings.,"installation of the electronic locks and card access readers at High School, Beach Street and Paul J. Bellew",https://files.smartsites.parentsquare.com/6796/092525_9-25-25_sm_agenda_for_posting_revised.pdf,2025-09-25,True
West Islip Union Free School District,NCES-3630690,All buildings,hvac_mechanical,2_study,False,,unknown,Obtaining preliminary quotes for gymnasium air conditioning units,preliminary quotes for the gymnasium air conditioning units for all buildings,https://files.smartsites.parentsquare.com/6796/10-09-25_rm_final.pdf,2025-10-09,True
West Islip Union Free School District,NCES-3630690,,site_athletics,2_study,False,,unknown,Irrigation systems for soccer club fields planning,irrigation systems for the soccer club fields,https://files.smartsites.parentsquare.com/6796/10-09-25_rm_final.pdf,2025-10-09,True
West Islip Union Free School District,NCES-3630690,West Islip High School,plumbing,2_study,True,,unknown,High school pool construction project under review.,Items reviewed included high school pool construction,https://files.smartsites.parentsquare.com/6796/091126_08-25-26_rm_final.pdf,2026-08-25,True
West Islip Union Free School District,NCES-3630690,West Islip High School,interiors,2_study,False,,unknown,High school counseling department and main office renovation project under review.,high school counseling department and main office renovation project,https://files.smartsites.parentsquare.com/6796/091126_08-25-26_rm_final.pdf,2026-08-25,True
West Islip Union Free School District,NCES-3630690,High School,interiors,2_study,False,,unknown,High school pool renovation project,Items reviewed included the high school pool renovation. There was a minor set-back and expected date of completion is now March 2027.,https://files.smartsites.parentsquare.com/6796/062226_6-16-2026_sm_agenda_for_posting_revised.pdf,2026-06-16,True
West Islip Union Free School District,NCES-3630690,West Islip High School,plumbing,2_study,False,,unknown,High school pool construction project under review.,Items reviewed included high school pool construction,https://files.smartsites.parentsquare.com/6796/091126_08-25-26_rm_final.pdf,2026-08-25,True
West Islip Union Free School District,NCES-3630690,West Islip High School,interiors,2_study,False,,unknown,High school counseling department and main office renovation project under review.,high school counseling department and main office renovation project,https://files.smartsites.parentsquare.com/6796/091126_08-25-26_rm_final.pdf,2026-08-25,True
West Islip Union Free School District,NCES-3630690,District-wide,general_construction,2_study,False,,unknown,District-wide construction projects under review by Buildings & Grounds Committee.,district wide construction projects,https://files.smartsites.parentsquare.com/6796/091126_08-25-26_rm_final.pdf,2026-08-25,True
