body_id,name,segment,county,schools,enrollment,website,coverage_level,blocker_code,platform,board_page_url,own_site_doc_links,expected_meetings_per_year,docs_count,last_checked,last_success,manual_notes,is_dependent
COG-193051,TOWN OF MCKENZIE,AL Municipal,BUTLER,,,,0,,,,,,,,,"Census 2022 Municipal, pop 503",False
COG-100025,CITY OF ANNISTON,AL Municipal,CALHOUN,,,http://www.anniston.org,0,,,,,,,,,"Census 2022 Municipal, pop 21157",False
COG-122509,CITY OF OXFORD,AL Municipal,CALHOUN,,,http://www.oxfordalabama.org,0,,,,,,,,,"Census 2022 Municipal, pop 22312",False
COG-160562,TOWN OF HOBSON CITY,AL Municipal,CALHOUN,,,,0,,,,,,,,,"Census 2022 Municipal, pop 768",False
COG-160563,CITY OF JACKSONVILLE,AL Municipal,CALHOUN,,,http://jacksonville-al.org,0,,,,,,,,,"Census 2022 Municipal, pop 13057",False
COG-160564,CITY OF WEAVER,AL Municipal,CALHOUN,,,https://weaveral.gov/,0,,,,,,,,,"Census 2022 Municipal, pop 3401",False
COG-201318,TOWN OF OHATCHEE,AL Municipal,CALHOUN,,,,0,,,,,,,,,"Census 2022 Municipal, pop 1191",False
COG-207502,CITY OF PIEDMONT,AL Municipal,CALHOUN,,,http://www.piedmontcity.org,0,,,,,,,,,"Census 2022 Municipal, pop 4810",False
COG-100026,CITY OF LAFAYETTE,AL Municipal,CHAMBERS,,,,0,,,,,,,,,"Census 2022 Municipal, pop 2588",False
COG-122510,TOWN OF FIVE POINTS,AL Municipal,CHAMBERS,,,http://www.alabama.travel/things-to-do/attractions/five_points_south_historic_district,0,,,,,,,,,"Census 2022 Municipal, pop 118",False
COG-122511,CITY OF VALLEY,AL Municipal,CHAMBERS,,,http://www.cityofvalley.com,0,,,,,,,,,"Census 2022 Municipal, pop 10513",False
COG-160565,CITY OF LANETT,AL Municipal,CHAMBERS,,,http://www.cityoflanett.com,0,,,,,,,,,"Census 2022 Municipal, pop 6773",False
COG-211970,TOWN OF WAVERLY,AL Municipal,CHAMBERS,,,,0,,,,,,,,,"Census 2022 Municipal, pop 152",False
COG-221115,TOWN OF CUSSETA,AL Municipal,CHAMBERS,,,,0,,,,,,,,,"Census 2022 Municipal, pop 151",False
COG-122512,TOWN OF SAND ROCK,AL Municipal,CHEROKEE,,,,0,,,,,,,,,"Census 2022 Municipal, pop 594",False
COG-160566,CITY OF CENTRE,AL Municipal,CHEROKEE,,,http://cityofcentre.org,0,,,,,,,,,"Census 2022 Municipal, pop 3528",False
COG-160567,TOWN OF LEESBURG,AL Municipal,CHEROKEE,,,http://www.leesburgal.com,0,,,,,,,,,"Census 2022 Municipal, pop 915",False
COG-201319,TOWN OF GAYLESVILLE,AL Municipal,CHEROKEE,,,,0,,,,,,,,,"Census 2022 Municipal, pop 172",False
COG-207503,TOWN OF CEDAR BLUFF,AL Municipal,CHEROKEE,,,http://www.cedarbluffal.org,0,,,,,,,,,"Census 2022 Municipal, pop 1864",False
COG-100027,TOWN OF MAPLESVILLE,AL Municipal,CHILTON,,,http://www.townofmaplesville.com,0,,,,,,,,,"Census 2022 Municipal, pop 641",False
COG-122513,CITY OF JEMISON,AL Municipal,CHILTON,,,http://www.jemisonalabama.org,0,,,,,,,,,"Census 2022 Municipal, pop 2650",False
COG-160568,TOWN OF THORSBY,AL Municipal,CHILTON,,,http://www.townofthorsby.com,0,,,,,,,,,"Census 2022 Municipal, pop 2093",False
COG-207504,CITY OF CLANTON,AL Municipal,CHILTON,,,http://www.clanton.al.us/,0,,,,,,,,,"Census 2022 Municipal, pop 8762",False
COG-100028,TOWN OF SILAS,AL Municipal,CHOCTAW,,,,0,,,,,,,,,"Census 2022 Municipal, pop 371",False
COG-122514,TOWN OF GILBERTOWN,AL Municipal,CHOCTAW,,,,0,,,,,,,,,"Census 2022 Municipal, pop 727",False
COG-160569,TOWN OF BUTLER,AL Municipal,CHOCTAW,,,,0,,,,,,,,,"Census 2022 Municipal, pop 1870",False
COG-160570,TOWN OF NEEDHAM,AL Municipal,CHOCTAW,,,,0,,,,,,,,,"Census 2022 Municipal, pop 73",False
COG-160571,TOWN OF PENNINGTON,AL Municipal,CHOCTAW,,,,0,,,,,,,,,"Census 2022 Municipal, pop 330",False
COG-189546,TOWN OF LISMAN,AL Municipal,CHOCTAW,,,,0,,,,,,,,,"Census 2022 Municipal, pop 421",False
COG-193052,TOWN OF TOXEY,AL Municipal,CHOCTAW,,,,0,,,,,,,,,"Census 2022 Municipal, pop 144",False
COG-122515,CITY OF JACKSON,AL Municipal,CLARKE,,,,0,,,,,,,,,"Census 2022 Municipal, pop 4644",False
COG-160572,TOWN OF COFFEEVILLE,AL Municipal,CLARKE,,,http://www.townofcoffevill.org,0,,,,,,,,,"Census 2022 Municipal, pop 262",False
COG-160573,TOWN OF FULTON,AL Municipal,CLARKE,,,,0,,,,,,,,,"Census 2022 Municipal, pop 221",False
COG-160574,CITY OF THOMASVILLE,AL Municipal,CLARKE,,,http://www.thomasvilleal.com,0,,,,,,,,,"Census 2022 Municipal, pop 3548",False
COG-201320,TOWN OF GROVE HILL,AL Municipal,CLARKE,,,,0,,,,,,,,,"Census 2022 Municipal, pop 1757",False
COG-160575,CITY OF ASHLAND,AL Municipal,CLAY,,,http://www.cityofashland.net,0,,,,,,,,,"Census 2022 Municipal, pop 1969",False
COG-160576,CITY OF LINEVILLE,AL Municipal,CLAY,,,http://www.cityoflineville.com,0,,,,,,,,,"Census 2022 Municipal, pop 2474",False
COG-100029,TOWN OF FRUITHURST,AL Municipal,CLEBURNE,,,,0,,,,,,,,,"Census 2022 Municipal, pop 239",False
COG-122516,TOWN OF EDWARDSVILLE,AL Municipal,CLEBURNE,,,,0,,,,,,,,,"Census 2022 Municipal, pop 205",False
COG-160577,CITY OF HEFLIN,AL Municipal,CLEBURNE,,,http://www.cityofheflin.org/,0,,,,,,,,,"Census 2022 Municipal, pop 3400",False
COG-160578,TOWN OF RANBURNE,AL Municipal,CLEBURNE,,,,0,,,,,,,,,"Census 2022 Municipal, pop 420",False
COG-100032,TOWN OF KINSTON,AL Municipal,COFFEE,,,,0,,,,,,,,,"Census 2022 Municipal, pop 587",False
COG-122517,CITY OF ELBA,AL Municipal,COFFEE,,,,0,,,,,,,,,"Census 2022 Municipal, pop 3401",False
COG-122518,TOWN OF NEW BROCKTON,AL Municipal,COFFEE,,,,0,,,,,,,,,"Census 2022 Municipal, pop 1437",False
COG-160579,CITY OF ENTERPRISE,AL Municipal,COFFEE,,,http://www.cityofenterprise.net/,0,,,,,,,,,"Census 2022 Municipal, pop 29395",False
COG-100035,CITY OF SHEFFIELD,AL Municipal,COLBERT,,,,0,,,,,,,,,"Census 2022 Municipal, pop 9337",False
COG-122519,CITY OF MUSCLE SHOALS,AL Municipal,COLBERT,,,http://cityofmuscleshoals.com,0,,,,,,,,,"Census 2022 Municipal, pop 16618",False
COG-160580,TOWN OF CHEROKEE,AL Municipal,COLBERT,,,,0,,,,,,,,,"Census 2022 Municipal, pop 963",False
COG-160581,TOWN OF LEIGHTON,AL Municipal,COLBERT,,,,0,,,,,,,,,"Census 2022 Municipal, pop 662",False
COG-160582,TOWN OF LITTLEVILLE,AL Municipal,COLBERT,,,,0,,,,,,,,,"Census 2022 Municipal, pop 1040",False
COG-160583,CITY OF TUSCUMBIA,AL Municipal,COLBERT,,,,0,,,,,,,,,"Census 2022 Municipal, pop 9068",False
COG-122520,TOWN OF REPTON,AL Municipal,CONECUH,,,,0,,,,,,,,,"Census 2022 Municipal, pop 234",False
COG-160584,TOWN OF CASTLEBERRY,AL Municipal,CONECUH,,,,0,,,,,,,,,"Census 2022 Municipal, pop 480",False
COG-160585,CITY OF EVERGREEN,AL Municipal,CONECUH,,,http://www.evergreenal.org,0,,,,,,,,,"Census 2022 Municipal, pop 3370",False
COG-100037,TOWN OF GOODWATER,AL Municipal,COOSA,,,http://www.goodwater.org,0,,,,,,,,,"Census 2022 Municipal, pop 1281",False
COG-189547,TOWN OF ROCKFORD,AL Municipal,COOSA,,,,0,,,,,,,,,"Census 2022 Municipal, pop 351",False
COG-213326,TOWN OF KELLYTON,AL Municipal,COOSA,,,,0,,,,,,,,,"Census 2022 Municipal, pop 129",False
COG-100040,TOWN OF HEATH,AL Municipal,COVINGTON,,,,0,,,,,,,,,"Census 2022 Municipal, pop 238",False
COG-100041,CITY OF BABBIE,AL Municipal,COVINGTON,,,,0,,,,,,,,,"Census 2022 Municipal, pop 633",False
COG-122521,CITY OF OPP,AL Municipal,COVINGTON,,,http://www.cityofopp.com,0,,,,,,,,,"Census 2022 Municipal, pop 6653",False
COG-122522,TOWN OF RIVER FALLS,AL Municipal,COVINGTON,,,,0,,,,,,,,,"Census 2022 Municipal, pop 485",False
COG-122523,TOWN OF GANTT,AL Municipal,COVINGTON,,,,0,,,,,,,,,"Census 2022 Municipal, pop 198",False
COG-122524,TOWN OF ONYCHA,AL Municipal,COVINGTON,,,,0,,,,,,,,,"Census 2022 Municipal, pop 168",False
COG-160586,CITY OF ANDALUSIA,AL Municipal,COVINGTON,,,http://www.cityofandalusia.com,0,,,,,,,,,"Census 2022 Municipal, pop 8715",False
COG-160587,TOWN OF FLORALA,AL Municipal,COVINGTON,,,,0,,,,,,,,,"Census 2022 Municipal, pop 1906",False
COG-160588,TOWN OF RED LEVEL,AL Municipal,COVINGTON,,,,0,,,,,,,,,"Census 2022 Municipal, pop 431",False
COG-160590,TOWN OF HORN HILL,AL Municipal,COVINGTON,,,,0,,,,,,,,,"Census 2022 Municipal, pop 209",False
COG-160591,TOWN OF LIBERTYVILLE,AL Municipal,COVINGTON,,,,0,,,,,,,,,"Census 2022 Municipal, pop 109",False
COG-184293,TOWN OF SANFORD,AL Municipal,COVINGTON,,,,0,,,,,,,,,"Census 2022 Municipal, pop 258",False
COG-207505,TOWN OF LOCKHART,AL Municipal,COVINGTON,,,,0,,,,,,,,,"Census 2022 Municipal, pop 445",False
COG-207506,TOWN OF CAROLINA,AL Municipal,COVINGTON,,,,0,,,,,,,,,"Census 2022 Municipal, pop 290",False
COG-100042,TOWN OF DOZIER,AL Municipal,CRENSHAW,,,,0,,,,,,,,,"Census 2022 Municipal, pop 287",False
COG-122525,TOWN OF GLENWOOD,AL Municipal,CRENSHAW,,,http://www.n2genealogy.com/alabama/,0,,,,,,,,,"Census 2022 Municipal, pop 152",False
COG-160592,TOWN OF RUTLEDGE,AL Municipal,CRENSHAW,,,http://www.rutledge-al.com,0,,,,,,,,,"Census 2022 Municipal, pop 350",False
COG-193053,CITY OF LUVERNE,AL Municipal,CRENSHAW,,,,0,,,,,,,,,"Census 2022 Municipal, pop 2680",False
COG-203910,TOWN OF PETREY,AL Municipal,CRENSHAW,,,,0,,,,,,,,,"Census 2022 Municipal, pop 66",False
COG-207507,TOWN OF BRANTLEY,AL Municipal,CRENSHAW,,,http://www.townofbrantley.com/,0,,,,,,,,,"Census 2022 Municipal, pop 807",False
COG-100045,TOWN OF GARDEN CITY,AL Municipal,CULLMAN,,,http://www.co.cullman.al.us/municipalities/gardencity.html,0,,,,,,,,,"Census 2022 Municipal, pop 534",False
COG-100046,TOWN OF BAILEYTON,AL Municipal,CULLMAN,,,http://www.co.cullman.al.us/baileyton.htm,0,,,,,,,,,"Census 2022 Municipal, pop 660",False
COG-122526,CITY OF CULLMAN,AL Municipal,CULLMAN,,,http://www.cullmancity.org,0,,,,,,,,,"Census 2022 Municipal, pop 18635",False
COG-122527,CITY OF HANCEVILLE,AL Municipal,CULLMAN,,,http://www.cityofhanceville.net,0,,,,,,,,,"Census 2022 Municipal, pop 3215",False
COG-122528,TOWN OF HOLLY POND,AL Municipal,CULLMAN,,,,0,,,,,,,,,"Census 2022 Municipal, pop 857",False
COG-122529,TOWN OF COLONY,AL Municipal,CULLMAN,,,http://www.co.cullman-al.us/colony.htm,0,,,,,,,,,"Census 2022 Municipal, pop 270",False
COG-137131,TOWN OF DODGE CITY,AL Municipal,CULLMAN,,,,0,,,,,,,,,"Census 2022 Municipal, pop 562",False
COG-160593,TOWN OF WEST POINT,AL Municipal,CULLMAN,,,,0,,,,,,,,,"Census 2022 Municipal, pop 601",False
COG-160594,TOWN OF FAIRVIEW,AL Municipal,CULLMAN,,,http://www.co.cullman.al.us/municipalities/fairview.html,0,,,,,,,,,"Census 2022 Municipal, pop 548",False
COG-189548,TOWN OF GOOD HOPE,AL Municipal,CULLMAN,,,,0,,,,,,,,,"Census 2022 Municipal, pop 2548",False
COG-203911,TOWN OF SOUTH VINEMONT,AL Municipal,CULLMAN,,,,0,,,,,,,,,"Census 2022 Municipal, pop 574",False
