leaid,name,body_type,county,schools,enrollment,website,status,final_url,platforms,platform_links,board_pages,cms,pdf_links,note,primary_platform
3611460,Franklin Square Union Free School District,School district,Nassau,3,1930,http://www.franklinsquare.k12.ny.us,200,https://www.franklinsquare.k12.ny.us/,BoardDocs;YouTube,https://go.boarddocs.com/ny/frsq/Board.nsf/Public# https://go.boarddocs.com/ny/frsq/Board.nsf/goto?open&amp;id=A6R6G70A5CBE,https://www.franklinsquare.k12.ny.us/page/boe-meeting-dates https://www.franklinsquare.k12.ny.us/page/members-of-the-board https://www.franklinsquare.k12.ny.us/page/board-of-education-presentations https://www.franklinsquare.k12.ny.us/documents/board-of-education/board-of-education-documents/773271,Apptegy/Thrillshare,0,,BoardDocs
3611550,Freeport Union Free School District,School district,Nassau,8,6469,http://www.freeportschools.org,200,https://www.freeportschools.org/,,,https://www.freeportschools.org/minutes-agendas https://www.freeportschools.org/board-of-education-meeting-dates https://www.freeportschools.org/school-board,SchoolMessenger;ParentSquare/Smore,0,,Not detected
3611760,Garden City Union Free School District,School district,Nassau,7,3945,http://www.gardencity.k12.ny.us,200,https://www.gardencity.k12.ny.us/,,,https://www.gardencity.k12.ny.us/board-members,SchoolMessenger;ParentSquare/Smore,0,,Not detected
3612180,Glen Cove City School District,School district,Nassau,6,3214,http://www.glencoveschools.org,200,https://www.glencoveschools.org/,Google Drive/Docs;YouTube,,https://www.glencoveschools.org/board-of-education/boe-meeting-dates https://www.glencoveschools.org/board-of-education https://www.glencoveschools.org/board-of-education/home https://www.glencoveschools.org/board-of-education/overview,Finalsite;SchoolMessenger;ParentSquare/Smore,0,,Google Drive links
3612510,Great Neck Union Free School District,School district,Nassau,10,6836,http://www.greatneck.k12.ny.us,200,https://www.greatneck.k12.ny.us/,BoardDocs;Google Drive/Docs;YouTube,https://go.boarddocs.com/ny/gnps/Board.nsf/Public,https://www.greatneck.k12.ny.us/board-of-education/board-meetings-policies https://www.greatneck.k12.ny.us/board-of-education/board-meetings-policies/board-of-education-meetings-2017-18 https://www.greatneck.k12.ny.us/board-of-education/board-meetings-policies/board-of-education-meetings-2018-19 https://www.greatneck.k12.ny.us/board-of-education/board-meetings-policies/board-of-education-meetings-,Finalsite;SchoolMessenger;ParentSquare/Smore,1,,BoardDocs
3614130,Hempstead Union Free School District,School district,Nassau,8,6114,http://www.hempsteadschools.org,200,https://www.hempsteadschools.org/,BoardDocs;YouTube,https://go.boarddocs.com/ny/hempstead/Board.nsf/Public,https://www.hempsteadschools.org/board-of-education/boe-documents/board-minutes https://www.hempsteadschools.org/board-of-education/boe-documents/boe-meeting-agenda-archives https://www.hempsteadschools.org/board-of-education https://www.hempsteadschools.org/board-of-education/home,Finalsite;SchoolMessenger,625,,BoardDocs
3614280,Herricks Union Free School District,School district,Nassau,5,4258,http://www.herricks.org,200,https://www.herricks.org/,Google Drive/Docs;YouTube,,https://www.herricks.org/board-of-education/board-meeting-dates-and-livestream-links https://www.herricks.org/board-of-education/board-meeting-dates-and-livestream-links/live-stream-links-and-videos https://www.herricks.org/board-of-education/bond-updates https://www.herricks.org/board-of-education/board-members,Finalsite;SchoolMessenger;ParentSquare/Smore,0,,Google Drive links
3631710,Hewlett-Woodmere Union Free School District,School district,Nassau,5,2884,http://www.hewlett-woodmere.net,200,https://www.hewlett-woodmere.net/,BoardDocs;Google Drive/Docs,https://go.boarddocs.com/ny/hwps/Board.nsf/Public,https://www.hewlett-woodmere.net/board-of-education/meeting-dates https://www.hewlett-woodmere.net/board-of-education/meeting-re-caps-archive https://www.hewlett-woodmere.net/board-of-education/welcome-to-a-meeting-of-your-school-board https://www.hewlett-woodmere.net/board-of-education,Finalsite;SchoolMessenger;ParentSquare/Smore,0,,BoardDocs
3614340,Hicksville Union Free School District,School district,Nassau,9,5548,http://www.hicksvillepublicschools.org,200,https://www.hicksvillepublicschools.org/,BoardDocs;Google Drive/Docs,https://go.boarddocs.com/ny/hicksville/Board.nsf/goto?open&id=DP7PJX64C4F2 https://go.boarddocs.com/ny/hicksville/Board.nsf/vpublic?open,https://www.hicksvillepublicschools.org/board-of-education-meetings https://www.hicksvillepublicschools.org/board-of-education https://www.hicksvillepublicschools.org/boe-member-profiles https://www.hicksvillepublicschools.org/trustee-candidate-packet,SchoolMessenger;ParentSquare/Smore,0,,BoardDocs
3615480,Island Park Union Free School District,School district,Nassau,2,707,http://www.ips.k12.ny.us,200,https://www.ips.k12.ny.us/,BoardDocs;YouTube,https://go.boarddocs.com/ny/island/Board.nsf/Public,https://www.ips.k12.ny.us/BOE_Minutes https://www.ips.k12.ny.us/boe_meeting_dates https://www.ips.k12.ny.us/board_members https://www.ips.k12.ny.us/data_privacy_and_security_board_policies,,21,,BoardDocs
3615510,Island Trees Union Free School District,School district,Nassau,4,2223,http://www.islandtrees.org,200,https://www.islandtrees.org/,BoardDocs;Google Drive/Docs;YouTube,http://www.boarddocs.com/ny/ISTR/Board.nsf/Public https://go.boarddocs.com/ny/ISTR/Board.nsf/Public,https://www.islandtrees.org/meeting-dates https://www.islandtrees.org/board-of-education https://www.islandtrees.org/board-of-education-members,SchoolMessenger;ParentSquare/Smore,18,,BoardDocs
3615810,Jericho Union Free School District,School district,Nassau,5,3236,http://www.jerichoschools.org,200,https://www.jerichoschools.org/,Diligent Community;Google Drive/Docs;YouTube,https://jerichoschools.community.diligentoneplatform.com/Portal/MeetingTypeList.aspx https://jerichoschools.community.diligentoneplatform.com/Portal/Policy.aspx,https://www.jerichoschools.org/boe-meeting-links https://www.jerichoschools.org/boehome https://www.jerichoschools.org/board-of-education,SchoolMessenger;ParentSquare/Smore,0,,Diligent Community
3616830,Lawrence Union Free School District,School district,Nassau,5,2306,http://www.lawrence.org,200,https://www.lawrence.org/,YouTube,,,Apptegy/Thrillshare,0,,Not detected
3617160,Levittown Union Free School District,School district,Nassau,10,7177,http://www.levittownschools.com,200,https://www.levittownschools.com/,BoardDocs;Google Drive/Docs;YouTube,https://go.boarddocs.com/ny/levittown/Board.nsf/Public,https://www.levittownschools.com/boe https://www.levittownschools.com/boe/bios https://www.levittownschools.com/boe/budget https://www.levittownschools.com/boe/policies,ParentSquare/Smore,334,,BoardDocs
3617700,Locust Valley Central School District,School district,Nassau,6,1920,http://www.locustvalleyschools.org,200,https://www.locustvalleyschools.org/,Google Drive/Docs;YouTube,,,Apptegy/Thrillshare;ParentSquare/Smore,0,,Google Drive links
3617730,Long Beach City School District,School district,Nassau,6,3590,http://www.lbeach.org,200,https://www.lbeach.org/,YouTube,,https://www.lbeach.org/boe-meeting-videos https://www.lbeach.org/information-meetings-agendas https://www.lbeach.org/information-meetings-agendas-2 https://www.lbeach.org/school-board,SchoolMessenger;ParentSquare/Smore,70,,PDFs on own site
3617910,Lynbrook Union Free School District,School district,Nassau,7,2764,http://www.lynbrookschools.org,200,https://www.lynbrookschools.org/,,,https://www.lynbrookschools.org/board-goals https://www.lynbrookschools.org/board-of-education,SchoolMessenger;ParentSquare/Smore,0,,Not detected
3618210,Malverne Union Free School District,School district,Nassau,4,1848,http://www.malverne.k12.ny.us,200,http://www.malverne.k12.ny.us/,,,,,0,,Not detected
3618270,Manhasset Union Free School District,School district,Nassau,4,3021,http://www.manhassetschools.org,200,https://www.manhassetschools.org/,BoardDocs;YouTube,https://go.boarddocs.com/ny/manhps/Board.nsf/Public,https://www.manhassetschools.org/board-of-education/manhasset-board-of-education-home-page/meeting-information-notices-agendas-minutes-presentations-and-recognition-photos https://www.manhassetschools.org/board-of-education/manhasset-board-of-education-home-page/meeting-information-notices-agendas-minutes-presentations-and-recognition-photos/20212022-boe-meeting-information https://www.manhassetsc,Finalsite,0,,BoardDocs
3618630,Massapequa Union Free School District,School district,Nassau,9,6536,http://www.msd.k12.ny.us,200,https://www.msd.k12.ny.us/,Google Drive/Docs;YouTube,,https://www.msd.k12.ny.us/page/boe-meeting-live-stream https://www.msd.k12.ny.us/page/boe-public-meetings-agendas https://www.msd.k12.ny.us/page/boe-meeting-videos-presentations https://www.msd.k12.ny.us/page/boe-committees,Apptegy/Thrillshare,0,,Google Drive links
3619110,Merrick Union Free School District,School district,Nassau,3,1664,http://www.merrick.k12.ny.us,200,https://www.merrick.k12.ny.us/,,,https://www.merrick.k12.ny.us/board-of-education https://www.merrick.k12.ny.us/board-of-education-2 https://www.merrick.k12.ny.us/board-of-education-policies,SchoolMessenger;ParentSquare/Smore,11,,PDFs on own site
3619500,Mineola Union Free School District,School district,Nassau,5,2868,http://www.mineola.k12.ny.us,200,https://www.mineola.k12.ny.us/,Google Drive/Docs;YouTube,,https://www.mineola.k12.ny.us/board-policies https://www.mineola.k12.ny.us/board-of-education https://www.mineola.k12.ny.us/board-of-education-3 https://www.mineola.k12.ny.us/board-of-education-2,SchoolMessenger;ParentSquare/Smore,316,,PDFs on own site
3620400,New Hyde Park-Garden City Park Union Free School District,School district,Nassau,4,1653,http://www.nhp-gcp.org,200,https://www.nhp-gcp.org/,BoardDocs;Google Drive/Docs;YouTube,,https://www.nhp-gcp.org/page/board-of-education,Apptegy/Thrillshare,0,,BoardDocs
3620940,North Bellmore Union Free School District,School district,Nassau,5,2046,http://www.northbellmoreschools.org,200,https://www.northbellmoreschools.org/,,,https://www.northbellmoreschools.org/boe-meeting-dates https://www.northbellmoreschools.org/boe-file-cabinet https://www.northbellmoreschools.org/board-of-education https://www.northbellmoreschools.org/board-of-education-2,SchoolMessenger;ParentSquare/Smore,372,,PDFs on own site
3621120,North Merrick Union Free School District,School district,Nassau,3,1214,http://www.nmerrickschools.org,200,https://www.nmerrickschools.org/,YouTube,,https://www.nmerrickschools.org/board-of-education https://www.nmerrickschools.org/board-of-education/financials https://www.nmerrickschools.org/board-of-education/board-policies https://www.nmerrickschools.org/board-of-education/budget-information,Finalsite;SchoolMessenger;ParentSquare/Smore,0,,Not detected
3626370,North Shore Central School District,School district,Nassau,5,2572,http://www.northshoreschools.org,200,https://www.northshoreschools.org/,BoardDocs;Google Drive/Docs;YouTube,https://go.boarddocs.com/ny/northshore/Board.nsf/Public,https://www.northshoreschools.org/boe/agendapage.html https://www.northshoreschools.org/boe/board_minutes.html https://www.northshoreschools.org/boe/construction-steering-committee-minutes.html https://www.northshoreschools.org/boe/bond.html,ParentSquare/Smore,383,,BoardDocs
3621570,Oceanside Union Free School District,School district,Nassau,10,5514,http://www.oceansideschools.org,200,https://www.oceansideschools.org/,BoardDocs;Diligent Community;Google Drive/Docs;YouTube,https://go.boarddocs.com/ny/oceanside/Board.nsf/goto?open&amp;id=CRUP6K61D3B9 https://oceansideschools.community.diligentoneplatform.com/Portal/,https://www.oceansideschools.org/board-of-education/meetings https://www.oceansideschools.org/board-of-education https://www.oceansideschools.org/board-of-education/guide https://www.oceansideschools.org/board-of-education/about-our-board,Finalsite;SchoolMessenger,0,,BoardDocs
3622290,Oyster Bay-East Norwich Central School District,School district,Nassau,4,1400,http://www.obenschools.org,200,https://www.obenschools.org/,YouTube,,https://www.obenschools.org/board-homepage https://www.obenschools.org/board-of-education,SchoolMessenger;ParentSquare/Smore,0,,Not detected
3623190,Plainedge Union Free School District,School district,Nassau,5,2880,http://www.plainedgeschools.org,200,https://www.plainedgeschools.org/,BoardDocs;Google Drive/Docs;YouTube,http://go.boarddocs.com/ny/plainedge/Board.nsf/goto?open=&#038;id=AZWPDZ6430F9 https://go.boarddocs.com/ny/plainedge/Board.nsf/goto?open=&amp;id=AZWPDZ6430F9 https://go.boarddocs.com/ny/plainedge/Board.nsf/vpublic?open,https://www.plainedgeschools.org/boe/meeting-schedule-postings/ https://www.plainedgeschools.org/boe/agendas-minutes-presentations/ https://www.plainedgeschools.org/boe/ https://www.plainedgeschools.org/boe/about/,SchoolMessenger,26,,BoardDocs
3623220,Plainview-Old Bethpage Central School District,School district,Nassau,7,5245,http://www.pobschools.org,200,https://www.pobschools.org/,BoardDocs;Google Drive/Docs;YouTube,https://go.boarddocs.com/ny/pobcsd/Board.nsf/goto?open&amp;id=965J9L4C1C05#,https://www.pobschools.org/boe/live-stream-meetings https://www.pobschools.org/boe/meetings-and-agendas https://www.pobschools.org/boe/board-agenda-and-minutes https://www.pobschools.org/boe/boarddocs-meetings-and-agendas,Finalsite;SchoolMessenger;ParentSquare/Smore,0,,BoardDocs
3623580,Port Washington Union Free School District,School district,Nassau,7,5294,http://www.portnet.org,200,https://www.portnet.org/,YouTube,,,Edlio;SchoolMessenger;ParentSquare/Smore,0,,Not detected
3624780,Rockville Centre Union Free School District,School district,Nassau,7,3384,http://www.rvcschools.org,200,https://www.rvcschools.org/,YouTube,,,SchoolMessenger;ParentSquare/Smore,0,,Not detected
3624990,Roosevelt Union Free School District,School district,Nassau,5,3196,http://www.rooseveltufsd.org,200,https://www.rooseveltufsd.org/,BoardDocs;Google Drive/Docs;YouTube,,https://www.rooseveltufsd.org/o/rufsd/page/board,Apptegy/Thrillshare;SchoolMessenger,0,,BoardDocs
3625050,Roslyn Union Free School District,School district,Nassau,5,3301,http://www.roslynschools.org,200,https://www.roslynschools.org/,Google Drive/Docs,,https://www.roslynschools.org/board-of-education/board-meeting-schedule https://www.roslynschools.org/board-of-education/agendas-minutes-of-meetings https://www.roslynschools.org/board-of-education/board-meeting-schedule/board-meeting-schedule-26-27 https://www.roslynschools.org/board-of-education/board-meeting-schedule/board-meeting-schedule-25-26,Finalsite;SchoolMessenger;ParentSquare/Smore,0,,Google Drive links
3626400,Seaford Union Free School District,School district,Nassau,4,2200,http://www.seaford.k12.ny.us,200,https://www.seaford.k12.ny.us/,BoardDocs;YouTube,https://go.boarddocs.com/ny/seafordufsd/board.nsf/vpublic?open&amp;id=policies,https://www.seaford.k12.ny.us/board-of-education/board-of-education-meetings https://www.seaford.k12.ny.us/departments/curriculum-and-assessment/title-i-parent-meeting https://www.seaford.k12.ny.us/board-of-education/meeting-agendas-minutes-and-presentations https://www.seaford.k12.ny.us/board-of-education/meeting-agendas-minutes-and-presentations/board-of-education-minutes-archive,Finalsite;SchoolMessenger;ParentSquare/Smore,1,,BoardDocs
3626520,Sewanhaka Central High School District,School district,Nassau,5,7862,http://www.sewanhakaschools.org,200,https://www.sewanhakaschools.org/,BoardDocs;YouTube,https://go.boarddocs.com/ny/schsd/Board.nsf/Public,https://www.sewanhakaschools.org/page/agenda https://www.sewanhakaschools.org/page/minutes https://www.sewanhakaschools.org/page/meeting-dates https://www.sewanhakaschools.org/page/board-of-education-members,Apptegy/Thrillshare,4,,BoardDocs
3628560,Syosset Central School District,School district,Nassau,10,6938,http://syossetschools.org,200,https://www.syossetschools.org/,BoardDocs;YouTube,https://go.boarddocs.com/ny/syossetschools/Board.nsf/Public,https://www.syossetschools.org/board-of-education/board-meeting-information https://www.syossetschools.org/board-of-education/board-policies https://www.syossetschools.org/board-of-education/about-the-board https://www.syossetschools.org/board-of-education/boardcommittees,Finalsite;SchoolMessenger;ParentSquare/Smore,1,,BoardDocs
3629280,Uniondale Union Free School District,School district,Nassau,8,6211,http://www.district.uniondaleschools.org,0,http://www.district.uniondaleschools.org,,,,,0,no response,Unreachable / blocked
3629430,Valley Stream 13 Union Free School District,School district,Nassau,4,2026,http://valleystream13.com/,202,http://valleystream13.com/,,,,,0,,Unreachable / blocked
3629460,Valley Stream 24 Union Free School District,School district,Nassau,3,1055,http://valleystreamschooldistrict24.org/,200,https://valleystreamschooldistrict24.org/,Diligent Community;Google Drive/Docs;YouTube,https://valleystreamschooldistrict24.community.diligentoneplatform.com/Portal/Welcome.aspx ,https://valleystreamschooldistrict24.org/board-agendas https://valleystreamschooldistrict24.org/board-minutes https://valleystreamschooldistrict24.org/2026-2027-board-agendas https://valleystreamschooldistrict24.org/board-policies,,355,,Diligent Community
3629490,Valley Stream 30 Union Free School District,School district,Nassau,3,1456,http://www.valleystream30.com,200,https://valleystream30.com/,Diligent Community;Google Drive/Docs;Granicus;YouTube,https://valleystream30.community.diligentoneplatform.com/Portal/MeetingSchedule.aspx?meetingTypeId=16&amp;month=7,https://valleystream30.com/board-of-education,SchoolMessenger;ParentSquare/Smore,481,,Diligent Community
3629520,Valley Stream Central High School District,School district,Nassau,4,4714,http://www.vschsd.org,202,http://www.vschsd.org/,,,,,0,,Unreachable / blocked
3629850,Wantagh Union Free School District,School district,Nassau,5,2905,http://www.wantaghschools.org,200,https://www.wantaghschools.org/,Google Drive/Docs;YouTube,,https://www.wantaghschools.org/boe https://www.wantaghschools.org/boardnotes,SchoolMessenger;ParentSquare/Smore,1,,PDFs on own site
3630660,West Hempstead Union Free School District,School district,Nassau,4,1586,http://www.whufsd.com,200,https://www.whufsd.com/,BoardDocs;Google Drive/Docs;YouTube,https://go.boarddocs.com/ny/whufsd/Board.nsf,https://www.whufsd.com/page/about-board-meetings https://www.whufsd.com/page/board-of-education-minutes-agendas https://www.whufsd.com/page/board-goals https://www.whufsd.com/page/board-notices,Apptegy/Thrillshare,0,,BoardDocs
3630960,Westbury Union Free School District,School district,Nassau,6,4768,http://www.westburyschools.org,200,https://www.westburyschools.org/,BoardDocs;Google Drive/Docs;YouTube,https://go.boarddocs.com/ny/wufsd/Board.nsf/Public https://go.boarddocs.com/ny/wufsd/Board.nsf/files/D6RQSQ6ABD93/$file/POLICY%205300%20-%20CODE%20OF%20CONDUCT.pdf https://go.boarddocs.com/ny/wufsd/Board.nsf/goto?open&id=DKR7ES194EC5,https://www.westburyschools.org/about/board-of-education https://www.westburyschools.org/newspage/~board/district-posts/post/district-wide-spelling-bee2026 https://www.westburyschools.org/newspage/~board/district-posts/post/a-major-investment-in-westburys-future https://www.westburyschools.org/newspage/~board/district-posts/post/a-new-era-begins-for-westbury-athletics,Finalsite;SchoolMessenger,1,,BoardDocs
3602880,Amagansett Union Free School District,School district,Suffolk,1,125,http://www.aufsd.org,200,https://www.aufsd.org/,,,https://www.aufsd.org/boe-meetings https://www.aufsd.org/boe https://www.aufsd.org/boe-schedule,SchoolMessenger;ParentSquare/Smore,0,,Not detected
3602940,Amityville Union Free School District,School district,Suffolk,5,2951,http://www.amityvilleschools.org,200,https://www.amityvilleschools.org/,BoardDocs;YouTube,http://www.boarddocs.com/ny/aufsd/Board.nsf/Public,https://www.amityvilleschools.org/meetings-minutes https://www.amityvilleschools.org/board-of-education https://www.amityvilleschools.org/board-of-education-2,SchoolMessenger;ParentSquare/Smore,63,,BoardDocs
3603720,Babylon Union Free School District,School district,Suffolk,3,1558,http://babylon.k12.ny.us,200,https://www.babylon.k12.ny.us/,,,https://www.babylon.k12.ny.us/boe-legislative-committee,SchoolMessenger;ParentSquare/Smore,0,,Not detected
3604080,Bay Shore Union Free School District,School district,Suffolk,7,5854,http://www.bayshoreschools.org,,,,,,,0,robots.txt disallows,Unreachable / blocked
3604110,Bayport-Blue Point Union Free School District,School district,Suffolk,5,1924,http://www.bbpschools.org,200,https://www.bbpschools.org/,BoardDocs;YouTube,https://go.boarddocs.com/ny/bbps/Board.nsf/goto?open&amp;id=9Y2LGM506D64 https://go.boarddocs.com/ny/bbps/Board.nsf/vpublic?open,https://www.bbpschools.org/page/meeting-dates https://www.bbpschools.org/page/board-of-education-information https://www.bbpschools.org/page/board-of-education-presentations https://www.bbpschools.org/page/board-of-education-vision-statement,Apptegy/Thrillshare;SchoolMessenger,0,,BoardDocs
3605280,Brentwood Union Free School District,School district,Suffolk,17,18323,http://www.brentwood.k12.ny.us,200,https://www.bufsd.org,YouTube,,https://www.bufsd.org/board-of-education/board-meetings https://www.bufsd.org/board-of-education https://www.bufsd.org/board-of-education/boe-policies https://www.bufsd.org/board-of-education/board-members,Finalsite;SchoolMessenger;ParentSquare/Smore,25,,PDFs on own site
3605370,Bridgehampton Union Free School District,School district,Suffolk,1,198,http://www.bridgehampton.k12.ny.us,200,https://www.bridgehampton.k12.ny.us/,,,,SchoolMessenger;ParentSquare/Smore,0,,Not detected
3615780,Brookhaven-Comsewogue Union Free School District,School district,Suffolk,6,3571,http://www.comsewogue.k12.ny.us,200,https://www.comsewogue.k12.ny.us/,BoardDocs;YouTube,https://go.boarddocs.com/ny/comsewogue/Board.nsf/Public,https://www.comsewogue.k12.ny.us/meeting-schedule https://www.comsewogue.k12.ny.us/boarddocs https://www.comsewogue.k12.ny.us/meet-the-board https://www.comsewogue.k12.ny.us/board-of-education,SchoolMessenger;ParentSquare/Smore,0,,BoardDocs
3606840,Center Moriches Union Free School District,School district,Suffolk,3,1488,http://www.cmschools.org,200,https://www.cmschools.org/,YouTube,,,SchoolMessenger;ParentSquare/Smore,0,,Not detected
3606870,Central Islip Union Free School District,School district,Suffolk,8,7902,http://www.centralislip.k12.ny.us,200,https://www.centralislip.k12.ny.us/,BoardDocs;Google Drive/Docs;YouTube,https://go.boarddocs.com/ny/cislipps/Board.nsf/goto?open&amp;id=CXKFZX419D9C,https://www.centralislip.k12.ny.us/board-of-education/monthly-meeting-summary https://www.centralislip.k12.ny.us/board-of-education https://www.centralislip.k12.ny.us/about/calendars/boe https://www.centralislip.k12.ny.us/board-of-education/goals,Finalsite;SchoolMessenger;ParentSquare/Smore,2,,BoardDocs
3608010,Cold Spring Harbor Central School District,School district,Suffolk,4,1570,http://www.csh.k12.ny.us,200,https://www.csh.k12.ny.us/,Google Drive/Docs;YouTube,,https://www.csh.k12.ny.us/bo/boe-meeting-presentations https://www.csh.k12.ny.us/bo/boe-meeting-presentations/21-22-presentations https://www.csh.k12.ny.us/bo/boe-meeting-presentations/25-26-presentations https://www.csh.k12.ny.us/bo/boe-meeting-presentations/22-23-presentations,Finalsite;Blackboard/SchoolWires,0,,Google Drive links
3608130,Commack Union Free School District,School district,Suffolk,8,5590,http://commack.k12.ny.us,200,https://commack.k12.ny.us/,Google Drive/Docs;YouTube,,https://commack.k12.ny.us/agenda https://commack.k12.ny.us/boeminutes https://commack.k12.ny.us/boemeetingsschedule https://commack.k12.ny.us/boemeetingprocedures,SchoolMessenger;ParentSquare/Smore,217,,PDFs on own site
3608160,Connetquot Central School District,School district,Suffolk,10,5393,http://www.ccsdli.org,200,https://www.ccsdli.org/,BoardDocs;YouTube,http://www.boarddocs.com/ny/ccsdli/Board.nsf/goto?open&id=8WWMUG5CF002 https://go.boarddocs.com/ny/ccsdli/Board.nsf/vpublic?open,,SchoolMessenger;ParentSquare/Smore,0,,BoardDocs
3608310,Copiague Union Free School District,School district,Suffolk,6,4876,http://www.copiague.k12.ny.us,200,https://www.copiague.k12.ny.us/,BoardDocs,https://go.boarddocs.com/ny/copiague/Board.nsf/Public,,SchoolMessenger;ParentSquare/Smore,0,,BoardDocs
3608880,Deer Park Union Free School District,School district,Suffolk,5,4050,http://www.deerparkschools.org,200,https://www.deerparkschools.org/,Google Drive/Docs;YouTube,,https://www.deerparkschools.org/agenda-and-minutes https://www.deerparkschools.org/virtual-board-meetings-since-april https://www.deerparkschools.org/wellness-committee-minutes-archive https://www.deerparkschools.org/board-policies,SchoolMessenger;ParentSquare/Smore,83,,PDFs on own site
3609660,East Hampton Union Free School District,School district,Suffolk,3,1844,http://www.ehufsd.org,404,http://www.ehufsd.org/,,,,,0,,Unreachable / blocked
3609720,East Islip Union Free School District,School district,Suffolk,6,3446,http://www.eischools.org,200,https://www.eischools.org/,BoardDocs;YouTube,https://go.boarddocs.com/ny/eisd/Board.nsf/Public#tab-policies https://www.boarddocs.com/ny/eisd/Board.nsf/Public,https://www.eischools.org/board-of-education/approved-meeting-schedule https://www.eischools.org/board-of-education/board-of-education/board-meeting-videos https://www.eischools.org/board-of-education/board-of-education/board-minutes-and-agendas-archive https://www.eischools.org/board-of-education,Finalsite;SchoolMessenger;ParentSquare/Smore,1,,BoardDocs
