body_id,name,segment,county,schools,enrollment,website,coverage_level,blocker_code,platform,board_page_url,own_site_doc_links,expected_meetings_per_year,docs_count,last_checked,last_success,manual_notes
NCES-3611460,Franklin Square Union Free School District,LI school districts,Nassau,3,1930,http://www.franklinsquare.k12.ny.us,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/frsq/Board.nsf/Public#,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3611550,Freeport Union Free School District,LI school districts,Nassau,8,6469,http://www.freeportschools.org,1,NOT_DETECTED,,,,,0,2026-09-20,,2 possible doc links at https://www.freeportschools.org/nysed-parent-dashboard
NCES-3611760,Garden City Union Free School District,LI school districts,Nassau,7,3945,http://www.gardencity.k12.ny.us,3,PLATFORM_BLOCKS_BOTS,Diligent Community,https://gardencity-k12.community.diligentoneplatform.com/Portal/#jumpToMain,,,0,2026-09-20,,Resolved by browser render 2026-09-20 | BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3612180,Glen Cove City School District,LI school districts,Nassau,6,3214,http://www.glencoveschools.org,3,,Google Drive links,https://www.glencoveschools.org/board-of-education/boe-meeting-dates,,,0,2026-09-20,,
NCES-3612510,Great Neck Union Free School District,LI school districts,Nassau,10,6836,http://www.greatneck.k12.ny.us,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/gnps/Board.nsf/Public,1,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3614130,Hempstead Union Free School District,LI school districts,Nassau,8,6114,http://www.hempsteadschools.org,3,PLATFORM_BLOCKS_BOTS_CHECK_OWN_SITE,BoardDocs,https://go.boarddocs.com/ny/hempstead/Board.nsf/Public,625,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network). District site also shows 625 agenda/minutes links. Check if they are current.
NCES-3614280,Herricks Union Free School District,LI school districts,Nassau,5,4258,http://www.herricks.org,3,,Google Drive links,https://www.herricks.org/board-of-education/board-meeting-dates-and-livestream-links,,,0,2026-09-20,,
NCES-3631710,Hewlett-Woodmere Union Free School District,LI school districts,Nassau,5,2884,http://www.hewlett-woodmere.net,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/hwps/Board.nsf/Public,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3614340,Hicksville Union Free School District,LI school districts,Nassau,9,5548,http://www.hicksvillepublicschools.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/hicksville/Board.nsf/goto?open&id=DP7PJX64C4F2,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3615480,Island Park Union Free School District,LI school districts,Nassau,2,707,http://www.ips.k12.ny.us,3,PLATFORM_BLOCKS_BOTS_CHECK_OWN_SITE,BoardDocs,https://go.boarddocs.com/ny/island/Board.nsf/Public,21,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network). District site also shows 21 agenda/minutes links. Check if they are current.
NCES-3615510,Island Trees Union Free School District,LI school districts,Nassau,4,2223,http://www.islandtrees.org,3,PLATFORM_BLOCKS_BOTS_CHECK_OWN_SITE,BoardDocs,http://www.boarddocs.com/ny/ISTR/Board.nsf/Public,18,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network). District site also shows 18 agenda/minutes links. Check if they are current.
NCES-3615810,Jericho Union Free School District,LI school districts,Nassau,5,3236,http://www.jerichoschools.org,3,PLATFORM_BLOCKS_BOTS,Diligent Community,https://jerichoschools.community.diligentoneplatform.com/Portal/MeetingTypeList.aspx,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3616830,Lawrence Union Free School District,LI school districts,Nassau,5,2306,http://www.lawrence.org,1,NOT_DETECTED,,,,,0,2026-09-20,,
NCES-3617160,Levittown Union Free School District,LI school districts,Nassau,10,7177,http://www.levittownschools.com,3,PLATFORM_BLOCKS_BOTS_CHECK_OWN_SITE,BoardDocs,https://go.boarddocs.com/ny/levittown/Board.nsf/Public,334,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network). District site also shows 334 agenda/minutes links. Check if they are current.
NCES-3617700,Locust Valley Central School District,LI school districts,Nassau,6,1920,http://www.locustvalleyschools.org,3,,Google Drive links,,,,0,2026-09-20,,
NCES-3617730,Long Beach City School District,LI school districts,Nassau,6,3590,http://www.lbeach.org,3,,PDFs on own site,https://www.lbeach.org/boe-meeting-videos,,,0,2026-09-20,,
NCES-3617910,Lynbrook Union Free School District,LI school districts,Nassau,7,2764,http://www.lynbrookschools.org,1,NOT_DETECTED,,,,,0,2026-09-20,,2 possible doc links at https://www.lynbrookschools.org/nysed-parent-data-dashboard
NCES-3618210,Malverne Union Free School District,LI school districts,Nassau,4,1848,http://www.malverne.k12.ny.us,1,NOT_DETECTED,,,,,0,2026-09-20,,
NCES-3618270,Manhasset Union Free School District,LI school districts,Nassau,4,3021,http://www.manhassetschools.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/manhps/Board.nsf/Public,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3618630,Massapequa Union Free School District,LI school districts,Nassau,9,6536,http://www.msd.k12.ny.us,3,,Google Drive links,https://www.msd.k12.ny.us/page/boe-meeting-live-stream,,,0,2026-09-20,,
NCES-3619110,Merrick Union Free School District,LI school districts,Nassau,3,1664,http://www.merrick.k12.ny.us,3,,PDFs on own site,https://www.merrick.k12.ny.us/board-of-education,,,0,2026-09-20,,
NCES-3619500,Mineola Union Free School District,LI school districts,Nassau,5,2868,http://www.mineola.k12.ny.us,3,,PDFs on own site,https://www.mineola.k12.ny.us/board-policies,,,0,2026-09-20,,
NCES-3620400,New Hyde Park-Garden City Park Union Free School District,LI school districts,Nassau,4,1653,http://www.nhp-gcp.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3620940,North Bellmore Union Free School District,LI school districts,Nassau,5,2046,http://www.northbellmoreschools.org,3,,PDFs on own site,https://www.northbellmoreschools.org/boe-meeting-dates,,,0,2026-09-20,,
NCES-3621120,North Merrick Union Free School District,LI school districts,Nassau,3,1214,http://www.nmerrickschools.org,1,NOT_DETECTED,,,,,0,2026-09-20,,
NCES-3626370,North Shore Central School District,LI school districts,Nassau,5,2572,http://www.northshoreschools.org,3,PLATFORM_BLOCKS_BOTS_CHECK_OWN_SITE,BoardDocs,https://go.boarddocs.com/ny/northshore/Board.nsf/Public,383,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network). District site also shows 383 agenda/minutes links. Check if they are current.
NCES-3621570,Oceanside Union Free School District,LI school districts,Nassau,10,5514,http://www.oceansideschools.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/oceanside/Board.nsf/goto?open&amp;id=CRUP6K61D3B9,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3622290,Oyster Bay-East Norwich Central School District,LI school districts,Nassau,4,1400,http://www.obenschools.org,2,PLATFORM_URL_MISSING,BoardDocs,,,,0,2026-09-20,,District site states it uses BoardDocs since Feb 2022. BoardDocs address not yet captured
NCES-3623190,Plainedge Union Free School District,LI school districts,Nassau,5,2880,http://www.plainedgeschools.org,3,PLATFORM_BLOCKS_BOTS_CHECK_OWN_SITE,BoardDocs,http://go.boarddocs.com/ny/plainedge/Board.nsf/goto?open=&#038;id=AZWPDZ6430F9,26,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network). District site also shows 26 agenda/minutes links. Check if they are current.
NCES-3623220,Plainview-Old Bethpage Central School District,LI school districts,Nassau,7,5245,http://www.pobschools.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/pobcsd/Board.nsf/goto?open&amp;id=965J9L4C1C05#,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3623580,Port Washington Union Free School District,LI school districts,Nassau,7,5294,http://www.portnet.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/pwufsd/Board.nsf/vpublic?open,,,0,2026-09-20,,Resolved by browser render 2026-09-20 | BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3624780,Rockville Centre Union Free School District,LI school districts,Nassau,7,3384,http://www.rvcschools.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/rockville/Board.nsf/vpublic?open,,,0,2026-09-20,,Resolved by browser render 2026-09-20 | BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3624990,Roosevelt Union Free School District,LI school districts,Nassau,5,3196,http://www.rooseveltufsd.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3625050,Roslyn Union Free School District,LI school districts,Nassau,5,3301,http://www.roslynschools.org,3,,Google Drive links,https://www.roslynschools.org/board-of-education/board-meeting-schedule,,,0,2026-09-20,,
NCES-3626400,Seaford Union Free School District,LI school districts,Nassau,4,2200,http://www.seaford.k12.ny.us,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/seafordufsd/board.nsf/vpublic?open&amp;id=policies,1,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3626520,Sewanhaka Central High School District,LI school districts,Nassau,5,7862,http://www.sewanhakaschools.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/schsd/Board.nsf/Public,4,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3628560,Syosset Central School District,LI school districts,Nassau,10,6938,http://syossetschools.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/syossetschools/Board.nsf/Public,1,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3629280,Uniondale Union Free School District,LI school districts,Nassau,8,6211,http://www.district.uniondaleschools.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/uniondale/Board.nsf/Public,,,0,2026-09-20,,Resolved by deeper crawl 2026-09-20 | BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3629430,Valley Stream 13 Union Free School District,LI school districts,Nassau,4,2026,http://valleystream13.com/,1,BOT_CHALLENGE,,,,,0,2026-09-20,,
NCES-3629460,Valley Stream 24 Union Free School District,LI school districts,Nassau,3,1055,http://valleystreamschooldistrict24.org/,3,PLATFORM_BLOCKS_BOTS_CHECK_OWN_SITE,Diligent Community,https://valleystreamschooldistrict24.community.diligentoneplatform.com/Portal/Welcome.aspx,355,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network). District site also shows 355 agenda/minutes links. Check if they are current.
NCES-3629490,Valley Stream 30 Union Free School District,LI school districts,Nassau,3,1456,http://www.valleystream30.com,3,PLATFORM_BLOCKS_BOTS_CHECK_OWN_SITE,Diligent Community,https://valleystream30.community.diligentoneplatform.com/Portal/MeetingSchedule.aspx?meetingTypeId=16&amp;month=7,481,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network). District site also shows 481 agenda/minutes links. Check if they are current.
NCES-3629520,Valley Stream Central High School District,LI school districts,Nassau,4,4714,http://www.vschsd.org,1,BOT_CHALLENGE,,,,,0,2026-09-20,,
NCES-3629850,Wantagh Union Free School District,LI school districts,Nassau,5,2905,http://www.wantaghschools.org,3,,PDFs on own site,https://www.wantaghschools.org/boe,,,0,2026-09-20,,
NCES-3630660,West Hempstead Union Free School District,LI school districts,Nassau,4,1586,http://www.whufsd.com,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/whufsd/Board.nsf,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3630960,Westbury Union Free School District,LI school districts,Nassau,6,4768,http://www.westburyschools.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/wufsd/Board.nsf/Public,1,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3602880,Amagansett Union Free School District,LI school districts,Suffolk,1,125,http://www.aufsd.org,1,NOT_DETECTED,,,,,0,2026-09-20,,
NCES-3602940,Amityville Union Free School District,LI school districts,Suffolk,5,2951,http://www.amityvilleschools.org,3,PLATFORM_BLOCKS_BOTS_CHECK_OWN_SITE,BoardDocs,http://www.boarddocs.com/ny/aufsd/Board.nsf/Public,63,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network). District site also shows 63 agenda/minutes links. Check if they are current.
NCES-3603720,Babylon Union Free School District,LI school districts,Suffolk,3,1558,http://babylon.k12.ny.us,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/babylon/Board.nsf/Public,,,0,2026-09-20,,Resolved by browser render 2026-09-20 | BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3604080,Bay Shore Union Free School District,LI school districts,Suffolk,7,5854,http://www.bayshoreschools.org,1,ROBOTS_DISALLOW,,,,,0,2026-09-20,,
NCES-3604110,Bayport-Blue Point Union Free School District,LI school districts,Suffolk,5,1924,http://www.bbpschools.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/bbps/Board.nsf/goto?open&amp;id=9Y2LGM506D64,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3605280,Brentwood Union Free School District,LI school districts,Suffolk,17,18323,http://www.brentwood.k12.ny.us,3,,PDFs on own site,https://www.bufsd.org/board-of-education/board-meetings,,,0,2026-09-20,,
NCES-3605370,Bridgehampton Union Free School District,LI school districts,Suffolk,1,198,http://www.bridgehampton.k12.ny.us,3,,Google Drive links,,,,0,2026-09-20,,"Resolved by browser render 2026-09-20, 445 doc links. Page URL to recapture on next run"
NCES-3615780,Brookhaven-Comsewogue Union Free School District,LI school districts,Suffolk,6,3571,http://www.comsewogue.k12.ny.us,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/comsewogue/Board.nsf/Public,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3606840,Center Moriches Union Free School District,LI school districts,Suffolk,3,1488,http://www.cmschools.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/cmschools/Board.nsf/,,,0,2026-09-20,,Resolved by browser render 2026-09-20 | BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3606870,Central Islip Union Free School District,LI school districts,Suffolk,8,7902,http://www.centralislip.k12.ny.us,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/cislipps/Board.nsf/goto?open&amp;id=CXKFZX419D9C,2,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3608010,Cold Spring Harbor Central School District,LI school districts,Suffolk,4,1570,http://www.csh.k12.ny.us,3,,Google Drive links,https://www.csh.k12.ny.us/bo/boe-meeting-presentations,,,0,2026-09-20,,
NCES-3608130,Commack Union Free School District,LI school districts,Suffolk,8,5590,http://commack.k12.ny.us,3,,PDFs on own site,https://commack.k12.ny.us/agenda,,,0,2026-09-20,,
NCES-3608160,Connetquot Central School District,LI school districts,Suffolk,10,5393,http://www.ccsdli.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,http://www.boarddocs.com/ny/ccsdli/Board.nsf/goto?open&id=8WWMUG5CF002,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3608310,Copiague Union Free School District,LI school districts,Suffolk,6,4876,http://www.copiague.k12.ny.us,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/copiague/Board.nsf/Public,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3608880,Deer Park Union Free School District,LI school districts,Suffolk,5,4050,http://www.deerparkschools.org,3,,PDFs on own site,https://www.deerparkschools.org/agenda-and-minutes,,,0,2026-09-20,,
NCES-3609660,East Hampton Union Free School District,LI school districts,Suffolk,3,1844,http://www.ehufsd.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/ehufsd/Board.nsf/Public,,,0,2026-09-20,,Resolved by deeper crawl 2026-09-20 | BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3609720,East Islip Union Free School District,LI school districts,Suffolk,6,3446,http://www.eischools.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/eisd/Board.nsf/Public#tab-policies,1,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3609870,East Moriches Union Free School District,LI school districts,Suffolk,2,649,http://www.emoschools.org,1,NOT_DETECTED,,,,,0,2026-09-20,,
NCES-3609900,East Quogue Union Free School District,LI school districts,Suffolk,1,361,http://www.eastquogue.k12.ny.us,3,PLATFORM_BLOCKS_BOTS_CHECK_OWN_SITE,BoardDocs,https://go.boarddocs.com/ny/equfsd/Board.nsf/Public,38,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network). District site also shows 38 agenda/minutes links. Check if they are current.
NCES-3600125,Eastport-South Manor Csd,LI school districts,Suffolk,5,2791,http://www.esmonline.org,3,PLATFORM_BLOCKS_BOTS_CHECK_OWN_SITE,BoardDocs,https://go.boarddocs.com/ny/esm/Board.nsf,18,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network). District site also shows 18 agenda/minutes links. Check if they are current.
NCES-3610680,Elwood Union Free School District,LI school districts,Suffolk,4,1998,http://www.elwood.k12.ny.us,1,BOT_CHALLENGE,,,,,0,2026-09-20,,
NCES-3621540,Fire Island Union Free School District,LI school districts,Suffolk,1,34,http://www.fi.k12.ny.us,3,,PDFs on own site,,,,0,2026-09-20,,"Resolved by browser render 2026-09-20, 72 doc links. Page URL to recapture on next run"
NCES-3611100,Fishers Island Union Free School District,LI school districts,Suffolk,1,57,http://www.fischool.com,3,PLATFORM_BLOCKS_BOTS,BoardDocs,,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3612840,Greenport Union Free School District,LI school districts,Suffolk,2,704,http://www.gufsd.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/gufsd/Board.nsf/Public,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3613290,Half Hollow Hills Central School District,LI school districts,Suffolk,9,7317,http://www.halfhollowhills.k12.ny.us,3,,Google Drive links,https://www.hhh.k12.ny.us/district/board-of-education,,,0,2026-09-20,,
NCES-3613530,Hampton Bays Union Free School District,LI school districts,Suffolk,3,2065,http://www.hbschools.us,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/hbschools/Board.nsf/Public,,,0,2026-09-20,,Resolved by deeper crawl 2026-09-20 | BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3613620,Harborfields Central School District,LI school districts,Suffolk,4,2794,http://www.harborfieldscsd.net,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/harborfields/Board.nsf/Public,3,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3613980,Hauppauge Union Free School District,LI school districts,Suffolk,5,3224,http://www.hauppauge.k12.ny.us,3,,Google Drive links,https://www.hauppauge.k12.ny.us/o/hufsd/page/about-the-board-of-education,,,0,2026-09-20,,
NCES-3615090,Huntington Union Free School District,LI school districts,Suffolk,8,4136,http://www.hufsd.edu,3,PLATFORM_BLOCKS_BOTS_CHECK_OWN_SITE,BoardDocs,http://www.boarddocs.com/ny/hufsd/Board.nsf/Public,41,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network). District site also shows 41 agenda/minutes links. Check if they are current.
NCES-3615540,Islip Union Free School District,LI school districts,Suffolk,5,2691,http://www.islipufsd.org,3,PLATFORM_BLOCKS_BOTS_CHECK_OWN_SITE,BoardDocs,https://go.boarddocs.com/ny/islip/Board.nsf/Public,297,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network). District site also shows 297 agenda/minutes links. Check if they are current.
NCES-3616260,Kings Park Central School District,LI school districts,Suffolk,5,2698,http://www.kpcsd.org,3,,PDFs on own site,https://www.kpcsd.org/audit-committee-agendas,,,0,2026-09-20,,
NCES-3617380,Lindenhurst Union Free School District,LI school districts,Suffolk,8,5640,http://www.lindenhurstschools.org,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://www.boarddocs.com/ny/linden/Board.nsf,,,0,2026-09-20,,Resolved by browser render 2026-09-20 | BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3617400,Little Flower Union Free School District,LI school districts,Suffolk,1,9,http://www.littleflowerufsd.org,3,,PDFs on own site,https://www.littleflowerufsd.org/board-of-education/board-meeting-minutes,,,0,2026-09-20,,
NCES-3619230,Longwood Central School District,LI school districts,Suffolk,7,8876,http://www.longwood.k12.ny.us,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/lcsd/Board.nsf/Public,,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3600021,Mattituck-Cutchogue Union Free School District,LI school districts,Suffolk,2,1004,http://www.mufsd.com,3,PLATFORM_BLOCKS_BOTS,Diligent Community,https://mufsd.community.diligentoneplatform.com/Portal/#jumpToMain,,,0,2026-09-20,,Resolved by browser render 2026-09-20 | BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
NCES-3619200,Middle Country Central School District,LI school districts,Suffolk,14,9507,http://www.mccsd.net,3,PLATFORM_BLOCKS_BOTS_CHECK_OWN_SITE,BoardDocs,http://www.boarddocs.com/ny/mccsd/Board.nsf/Public,10,,0,2026-09-20,,BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network). District site also shows 10 agenda/minutes links. Check if they are current.
NCES-3619410,Miller Place Union Free School District,LI school districts,Suffolk,4,2343,http://www.millerplace.k12.ny.us,3,,PDFs on own site,https://www.millerplace.k12.ny.us/board-of-education/board-meeting-minutes,,,0,2026-09-20,,"Resolved by browser render 2026-09-20, 137 doc links on page"
NCES-3619710,Montauk Union Free School District,LI school districts,Suffolk,1,305,http://www.montaukschool.org,3,,Google Drive links,,,,0,2026-09-20,,
NCES-3620040,Mount Sinai Union Free School District,LI school districts,Suffolk,3,2076,http://www.mtsinai.k12.ny.us,3,,PDFs on own site,https://www.mtsinai.k12.ny.us/56121_2,,,0,2026-09-20,,"Resolved by browser render 2026-09-20, 213 doc links on page"
NCES-3620520,New Suffolk Common School District,LI school districts,Suffolk,1,7,http://www.newsuffolkschool.com,1,NOT_DETECTED,,,,,0,2026-09-20,,
NCES-3620910,North Babylon Union Free School District,LI school districts,Suffolk,7,4683,http://www.northbabylonschools.net,3,PLATFORM_BLOCKS_BOTS,BoardDocs,https://go.boarddocs.com/ny/northbabylon/Board.nsf/vpublic?open,,,0,2026-09-20,,Resolved by browser render 2026-09-20 | BoardDocs returned 403 to automated clients on 2026-09-20 (tested from cloud and from a home network).
